motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep
33889,Red Knot,ASY,21961,REEDS,5127,39.1269,-74.8914,2019-05-25T08:55:50Z,Jay Drasher,4218,40.3201,-75.9026,2019-05-26T00:45:31Z,158325.5037,158325.5037,15.82798572,1,2.778578863,2.778578863,327.1205063,-4.800003,1.199997,3.613570948,TRUE
33889,Red Knot,ASY,21961,Jay Drasher,4218,40.3201,-75.9026,2019-07-23T23:41:48Z,CHDE,5009,38.7703,-75.0852,2019-07-24T03:35:06Z,2869964.045,185864.3094,3.888286,0.064761895,13.27808058,205.0292172,157.5267885,0,-0.69999695,0.646838029,FALSE
33889,Red Knot,ASY,21961,Northbluff Point,5294,51.484,-80.45,2019-07-23T06:20:00Z,Blue Marsh Lake SGL,5010,40.4106,-76.0796,2019-07-23T23:33:44Z,1286046.315,1276005.008,17.22878217,0.992192111,20.57288972,20.73478462,162.9992602,2.399994,-4.699997,5.196331712,FALSE
33889,Red Knot,ASY,21961,Washiskogau Creek,5291,51.154,-79.8144,2019-07-23T07:05:22Z,Blue Marsh Lake SGL,5010,40.4106,-76.0796,2019-07-23T23:33:44Z,1228485.216,1228485.216,16.47282822,1,20.71568334,20.71568334,164.9614941,3.399994,-2.5,3.296569295,FALSE
33889,Red Knot,ASY,21961,Blue Marsh Lake SGL,5010,40.4106,-76.0796,2019-07-23T23:40:56Z,CHDE,5009,38.7703,-75.0852,2019-07-24T03:35:06Z,201151.3378,201151.3378,3.902646583,1,14.31730248,14.31730248,154.5532279,0,-0.69999695,0.632086634,FALSE
33890,Red Knot,ASY,21962,Elk38,4980,41.5424,-78.8693,2019-05-20T11:35:54Z,Napanee LOSH,3348,44.3489,-76.8908,2019-05-20T15:41:09Z,353131.9691,351082.6169,4.087562,0.994196639,23.85846359,23.99773108,26.71011141,7.699997,3.300003,6.408835411,TRUE
33890,Red Knot,ASY,21962,Bradford,4897,41.8569,-78.8096,2019-05-20T12:03:00Z,Napanee LOSH,3348,44.3489,-76.8908,2019-05-20T15:41:09Z,317849.2213,317849.2213,3.635861583,1,24.28350154,24.28350154,28.78037759,7.699997,3.300003,6.59954972,FALSE
33891,Red Knot,ASY,21963,"Newtowne Neck State Park, Compton, MD",5047,38.2507,-76.702,2019-05-24T08:38:17Z,Fortescue,5162,39.2225,-75.166,2019-05-24T11:20:34Z,171674.6905,171674.6905,2.704764528,1,17.63089302,17.63089302,50.59058853,8.800003,1.5999908,7.814906226,TRUE
33891,Red Knot,ASY,21963,Fortescue,5162,39.2225,-75.166,2019-06-01T01:01:27Z,Lemoine Point C.A.,4044,44.2176,-76.6069,2019-06-01T08:49:01Z,691803.2461,567582.8778,7.792810306,0.820439744,20.23171415,24.65959786,348.2805542,0.099990845,-1.300003,-1.293213149,TRUE
33891,Red Knot,ASY,21963,Bucktoe Preserve,4200,39.8209,-75.7221,2019-06-01T02:05:51Z,Lemoine Point C.A.,4044,44.2176,-76.6069,2019-06-01T08:49:01Z,501692.5057,493816.6278,6.719477389,0.984301384,20.41398126,20.73956371,351.7599134,0.099990845,-1.300003,-1.300912855,FALSE
